,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,69,PF,1595372473,61,-23.12,-134.97,66.18,17.6
1,Port Elizabeth,0,ZA,1595372410,51,-33.92,25.57,62.6,10.29
2,Yellowknife,75,CA,1595372428,57,62.46,-114.35,77.0,12.75
3,Alta Gracia,90,AR,1595372799,81,-31.65,-64.43,55.0,9.17
4,Mataura,94,NZ,1595372471,83,-46.19,168.86,39.0,3.0
5,Vila Velha,40,BR,1595372231,83,-20.33,-40.29,75.0,12.75
6,Leningradskiy,99,RU,1595372487,52,69.38,178.42,53.65,12.24
7,Cape Town,0,ZA,1595372482,100,-33.93,18.42,50.0,1.12
8,Avera,1,US,1595372454,70,33.19,-82.53,86.0,8.05
9,Isaszeg,21,HU,1595372799,100,47.53,19.4,70.0,2.24
10,Landau,0,DE,1595372799,58,49.21,8.11,63.0,6.78
11,Naze,20,JP,1595372488,88,28.37,129.48,82.4,2.24
12,Samarai,89,PG,1595372476,78,-10.62,150.67,77.09,16.02
13,Jaguarari,38,BR,1595372800,86,-10.26,-40.2,65.41,10.47
14,Kapaa,20,US,1595372472,66,22.08,-159.32,84.99,14.99
15,Punta Arenas,11,CL,1595372277,92,-53.15,-70.92,24.8,4.7
16,Asău,0,RO,1595372442,94,46.43,26.4,60.01,3.31
17,Hithadhoo,85,MV,1595372501,69,-0.6,73.08,84.22,4.81
18,Verkhoyansk,13,RU,1595372522,35,67.54,133.38,79.83,13.94
19,Mahébourg,75,MU,1595372537,72,-20.41,57.7,68.0,13.87
20,Port Alfred,0,ZA,1595372474,26,-33.59,26.89,67.62,9.17
21,Ilulissat,95,GL,1595372431,50,69.22,-51.1,53.6,2.24
22,Thinadhoo,97,MV,1595372697,71,0.53,72.93,84.34,9.86
23,Marsh Harbour,96,BS,1595372403,78,26.54,-77.06,82.85,12.46
24,Ushuaia,32,AR,1595372473,87,-54.8,-68.3,32.0,5.82
25,Sobolevo,4,RU,1595372517,95,54.43,31.9,57.04,10.87
26,Bichena,100,ET,1595372801,100,10.45,38.2,53.92,1.74
27,Djambala,0,CG,1595372745,47,-2.54,14.75,73.49,1.79
28,Jurm,0,AF,1595372801,36,36.86,70.83,62.49,1.1
29,Jumla,100,NP,1595372489,70,29.27,82.18,59.31,1.39
30,Kayerkan,40,RU,1595372520,87,69.35,87.76,51.8,24.61
31,Lærdal,49,NO,1595372801,67,61.1,7.48,46.36,3.38
32,Jamestown,1,US,1595372333,65,42.1,-79.24,78.01,4.5
33,Dikson,100,RU,1595372488,93,73.51,80.55,40.14,9.42
34,Saskylakh,100,RU,1595372504,89,71.92,114.08,46.13,18.19
35,Meulaboh,100,ID,1595372247,90,4.14,96.13,75.24,4.23
36,Yizheng,100,CN,1595372801,10,24.67,103.43,66.0,38.99
37,Beira,20,MZ,1595372780,73,-19.84,34.84,69.8,6.93
